Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,birth_date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",01-Feb,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal,13-12-55,Lisbon,Portugal
1949,Peace,The Nobel Peace Prize 1949,,01-Jan,510,Individual,Lord (John) Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,Male,,,,25-06-71,Edzell,Scotland
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",01-Jan,54,Individual,Hideki Yukawa,23-01-07,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,08-09-81,Kyoto,Japan
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",01-Jan,54,Individual,Hideki Yukawa,23-01-07,Tokyo,Japan,Male,Columbia University,"New York, NY",United States of America,08-09-81,Kyoto,Japan
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",01-Feb,210,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,07-03-54,Kiel,West Germany (Germany)
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",01-Feb,211,Individual,Kurt Alder,10-07-02,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,20-06-58,Cologne,West Germany (Germany)
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",01-Jan,621,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,Male,,,,02-02-70,Penrhyndeudraeth,United Kingdom
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",01-Mar,349,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,04-05-72,"Princeton, NJ",United States of America
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",01-Mar,350,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,01-08-96,Basel,Switzerland
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",01-Mar,351,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,30-03-65,Ocho Rios,Jamaica
1950,Peace,The Nobel Peace Prize 1950,,01-Jan,511,Individual,Ralph Bunche,07-08-04,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,09-12-71,"New York, NY",United States of America
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",01-Jan,55,Individual,Cecil Frank Powell,05-12-03,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,09-08-69,,Italy
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",01-Feb,212,Individual,Edwin Mattison McMillan,18-09-07,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,07-09-91,"El Cerrito, CA",United States of America
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",01-Feb,213,Individual,Glenn Theodore Seaborg,19-04-12,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,25-02-99,"Lafayette, CA",United States of America
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",01-Jan,622,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Male,,,,11-07-74,Stockholm,Sweden
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",01-Jan,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,11-08-72,"New Haven, CT",United States of America
1951,Peace,The Nobel Peace Prize 1951,,01-Jan,512,Individual,Léon Jouhaux,1879-07-01,Paris,France,Male,,,,28-04-54,Paris,France
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",01-Feb,56,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,18-09-67,Cambridge,United Kingdom
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",01-Feb,57,Individual,Ernest Thomas Sinton Walton,06-10-03,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,25-06-95,Belfast,Northern Ireland
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",01-Feb,214,Individual,Archer John Porter Martin,01-03-10,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,28-07-02,Llangarron,United Kingdom
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",01-Feb,215,Individual,Richard Laurence Millington Synge,28-10-14,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,18-08-94,Norwich,United Kingdom
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",01-Jan,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,Male,,,,01-09-70,Paris,France
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",01-Jan,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America,16-08-73,"Hyannis, MA",United States of America
1952,Peace,The Nobel Peace Prize 1952,,01-Jan,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),Male,,,,04-09-65,Lambaréné,Gabon
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",01-Feb,58,Individual,Felix Bloch,23-10-05,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,10-09-83,Zurich,Switzerland
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",01-Feb,59,Individual,Edward Mills Purcell,30-08-12,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,07-03-97,"Cambridge, MA",United States of America
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",01-Jan,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,08-09-65,Freiburg im Breisgau,West Germany (Germany)
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",01-Jan,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,08-09-65,Freiburg im Breisgau,West Germany (Germany)
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",01-Jan,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,Male,,,,24-01-65,London,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",01-Feb,354,Individual,Hans Adolf Krebs,25-08-00,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,22-11-81,Oxford,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",01-Feb,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,24-07-86,"Poughkeepsie, NY",United States of America
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",01-Feb,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Massachusetts General Hospital,"Boston, MA",United States of America,24-07-86,"Poughkeepsie, NY",United States of America
1953,Peace,The Nobel Peace Prize 1953,,01-Jan,514,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States of America,Male,,,,16-10-59,"Washington, DC",United States of America
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",01-Jan,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,10-03-66,Groningen,Netherlands
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",01-Jan,217,Individual,Linus Carl Pauling,28-02-01,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,19-08-94,"Big Sur, CA",United States of America
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",01-Jan,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,Male,,,,02-07-61,"Ketchum, ID",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",01-Mar,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,08-09-85,"Waterford, CT",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",01-Mar,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,08-09-85,"Waterford, CT",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",01-Mar,357,Individual,Thomas Huckle Weller,15-06-15,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,23-08-08,"Needham, MA",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",01-Mar,358,Individual,Frederick Chapman Robbins,25-08-16,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,04-08-03,"Cleveland, OH",United States of America
1954,Peace,The Nobel Peace Prize 1954,,01-Jan,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",01-Feb,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,05-01-70,Göttingen,West Germany (Germany)
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",01-Feb,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,08-02-57,Heidelberg,West Germany (Germany)
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",01-Feb,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,08-02-57,Heidelberg,West Germany (Germany)
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",01-Jan,218,Individual,Vincent du Vigneaud,18-05-01,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,11-12-78,"White Plains, NY",United States of America
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",01-Jan,626,Individual,Halldór Kiljan Laxness,23-04-02,Reykjavik,Iceland,Male,,,,08-02-98,Reykjavik,Iceland
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",01-Jan,359,Individual,Axel Hugo Theodor Theorell,06-07-03,Linköping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,15-08-82,Stockholm,Sweden
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",01-Feb,63,Individual,Willis Eugene Lamb,12-07-13,"Los Angeles, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,15-05-08,"Tucson, AZ",United States of America
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",01-Feb,64,Individual,Polykarp Kusch,26-01-11,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,20-03-93,"Dallas, TX",United States of America
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",01-Feb,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,09-10-67,London,United Kingdom
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",01-Feb,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,25-09-86,Moscow,Union of Soviet Socialist Republics
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",01-Jan,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Male,,,,29-05-58,San Juan,Puerto Rico
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",01-Mar,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,19-02-88,"Great Barrington, MA",United States of America
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",01-Mar,361,Individual,Werner Forssmann,29-08-04,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,01-06-79,Schopfheim,West Germany (Germany)
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",01-Mar,361,Individual,Werner Forssmann,29-08-04,Berlin,Germany,Male,,Bad Kreuznach,Federal Republic of Germany,01-06-79,Schopfheim,West Germany (Germany)
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",01-Mar,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,23-02-73,"Lakeville, CT",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",01-Mar,65,Individual,William Bradford Shockley,13-02-10,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,12-08-89,"Palo Alto, CA",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",01-Mar,66,Individual,John Bardeen,23-05-08,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,30-01-91,"Boston, MA",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",01-Mar,67,Individual,Walter Houser Brattain,10-02-02,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,13-10-87,"Seattle, WA",United States of America
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",01-Jan,221,Individual,Lord (Alexander R.) Todd,02-10-07,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,10-01-97,Cambridge,United Kingdom
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",01-Jan,628,Individual,Albert Camus,07-11-13,Mondovi,French Algeria (Algeria),Male,,,,04-01-60,Sens,France
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",01-Jan,363,Individual,Daniel Bovet,23-03-07,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,08-04-92,Rome,Italy
1957,Peace,The Nobel Peace Prize 1957,,01-Jan,516,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Male,,,,27-12-72,Ottawa,Canada
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",01-Feb,68,Individual,Chen Ning Yang,22-09-22,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,,,
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",01-Feb,69,Individual,Tsung-Dao (T.D.) Lee,24-11-26,Shanghai,China,Male,Columbia University,"New York, NY",United States of America,,,
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",01-Jan,222,Individual,Frederick Sanger,13-08-18,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,19-11-13,Cambridge,United Kingdom
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",01-Jan,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Male,,,,30-05-60,Peredelkino,Russia
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",01-Apr,364,Individual,George Wells Beadle,22-10-03,"Wahoo, NE",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,09-06-89,"Pomona, CA",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",01-Apr,365,Individual,Edward Lawrie Tatum,14-12-09,"Boulder, CO",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,05-11-75,"New York, NY",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",01-Feb,366,Individual,Joshua Lederberg,23-05-25,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,02-02-08,"New York, NY",United States of America
1958,Peace,The Nobel Peace Prize 1958,,01-Jan,517,Individual,Georges Pire,10-02-10,Dinant,Belgium,Male,,,,30-01-69,Leuven,Belgium
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",01-Mar,70,Individual,Pavel Alekseyevich Cherenkov,28-07-04,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,06-01-90,,Union of Soviet Socialist Republics
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",01-Mar,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,12-04-71,Moscow,Union of Soviet Socialist Republics (Russia)
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",01-Mar,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,12-04-71,Moscow,Union of Soviet Socialist Republics (Russia)
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",01-Mar,721,Individual,Il´ja Mikhailovich Frank,23-10-08,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,22-06-90,Moscow,Union of Soviet Socialist Republics (Russia)
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",01-Mar,721,Individual,Il´ja Mikhailovich Frank,23-10-08,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,22-06-90,Moscow,Union of Soviet Socialist Republics (Russia)
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",01-Jan,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,27-03-67,Prague,Czechoslovakia
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",01-Jan,630,Individual,Salvatore Quasimodo,20-08-01,Modica,Italy,Male,,,,14-06-68,Naples,Italy
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",01-Feb,367,Individual,Severo Ochoa,24-09-05,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,01-11-93,Madrid,Spain
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",01-Feb,368,Individual,Arthur Kornberg,03-03-18,"Brooklyn, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,26-10-07,"Stanford, CA",United States of America
1959,Peace,The Nobel Peace Prize 1959,,01-Jan,518,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,Male,,,,08-10-82,London,United Kingdom
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",01-Feb,72,Individual,Emilio Gino Segrè,01-02-05,Tivoli,Italy,Male,University of California,"Berkeley, CA",United States of America,22-04-89,"Lafayette, CA",United States of America
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",01-Feb,73,Individual,Owen Chamberlain,10-07-20,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,28-02-06,"Berkeley, CA",United States of America
1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",01-Jan,224,Individual,Willard Frank Libby,17-12-08,"Grand Valley, CO",United States of America,Male,University of California,"Los Angeles, CA",United States of America,08-09-80,"Los Angeles, CA",United States of America
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",01-Jan,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Male,,,,20-09-75,Presqu'île-de-Giens,France
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",01-Feb,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,31-08-85,Melbourne,Australia
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",01-Feb,370,Individual,Peter Brian Medawar,28-02-15,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom,02-10-87,London,United Kingdom
1960,Peace,The Nobel Peace Prize 1960,,01-Jan,519,Individual,Albert John Lutuli,1898-00-00,Bulawayo,Southern Rhodesia (Zimbabwe),Male,,,,21-07-67,Stanger,South Africa
1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",01-Jan,74,Individual,Donald Arthur Glaser,21-09-26,"Cleveland, OH",United States of America,Male,University of California,"Berkeley, CA",United States of America,28-02-13,"Berkeley, CA",United States of America
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",01-Jan,225,Individual,Melvin Calvin,08-04-11,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America,08-01-97,"Berkeley, CA",United States of America
1961,Literature,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",01-Jan,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Male,,,,13-03-75,Belgrade,Yugoslavia (Serbia)
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",01-Jan,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,13-06-72,"Honolulu, HI",United States of America
1961,Peace,The Nobel Peace Prize 1961,,01-Jan,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,29-07-05,Jönköping,Sweden,Male,,,,18-09-61,Ndola,Northern Rhodesia (Zambia)
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",01-Feb,75,Individual,Robert Hofstadter,05-02-15,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,17-11-90,"Stanford, CA",United States of America
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",01-Feb,76,Individual,Rudolf Ludwig Mössbauer,31-01-29,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,14-09-11,,
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",01-Feb,76,Individual,Rudolf Ludwig Mössbauer,31-01-29,Munich,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,14-09-11,,
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",01-Feb,226,Individual,Max Ferdinand Perutz,19-05-14,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,06-02-02,Cambridge,United Kingdom
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",01-Feb,227,Individual,John Cowdery Kendrew,24-03-17,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,23-08-97,Cambridge,United Kingdom
1962,Literature,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",01-Jan,634,Individual,John Steinbeck,27-02-02,"Salinas, CA",United States of America,Male,,,,20-12-68,"New York, NY",United States of America
