Product Type,Quantity,Cost of Goods Sold,Net Sales,Gross Profit
beauty,20,110.9,168.58,57.68
appliances,1,91.5,149,57.5
beauty,7,235.2,292.67,57.47
life,11,32.23,89.43,57.2
life,20,28.4,85.51,57.11
beauty,3,287.64,344.75,57.11
beauty,19,111.07,168.13,57.06
life,5,140.4,197.45,57.05
snacks,78,93.6,150.6,57
beauty,11,150,206.99,56.99
appliances,3,92.94,149.91,56.97
beauty,2,163.06,219.98,56.92
snacks,108,248.4,305.07,56.67
beauty,5,105,161.65,56.65
beauty,24,81.7,138.32,56.62
beauty,14,112,168.46,56.46
beauty,8,100.8,157.2,56.4
life,4,95.58,151.96,56.38
appliances,11,256.52,312.88,56.36
life,15,42.72,99.08,56.36
maternal,10,175,231.26,56.26
snacks,49,98,154.25,56.25
beauty,4,128.72,184.97,56.25
life,4,95.92,152.11,56.19
beauty,29,82.36,138.53,56.17
beauty,14,277.2,333.35,56.15
life,22,39.38,95.52,56.14
maternal,19,35.74,91.74,56
life,8,48,103.92,55.92
beauty,33,40.59,96.47,55.88
beauty,15,105.7,161.41,55.71
beauty,13,184.34,240.03,55.69
beauty,58,243.6,299.25,55.65
beauty,3,120,175.64,55.64
appliances,8,256.24,311.85,55.61
beauty,6,182.12,237.56,55.44
beauty,65,568.75,624.19,55.44
beauty,6,184.5,239.94,55.44
life,10,94.5,149.9,55.4
beauty,13,191.31,246.7,55.39
beauty,10,336,391.38,55.38
appliances,6,63,117.94,54.94
beauty,58,336.17,391.05,54.88
maternal,5,109.15,164.03,54.88
beauty,8,136.03,190.89,54.86
snacks,24,91.2,145.96,54.76
snacks,49,462,516.68,54.68
life,18,97.12,151.76,54.64
beauty,9,146.52,201.14,54.62
maternal,18,190.47,245.01,54.54
life,10,94.5,148.86,54.36
appliances,4,331.8,386.1,54.3
beauty,6,89.67,143.94,54.27
snacks,18,81,135.26,54.26
life,17,35.19,89.45,54.26
beauty,4,141.6,195.86,54.26
beauty,56,678.72,732.88,54.16
beauty,7,112,166.14,54.14
appliances,2,114,167.98,53.98
beauty,3,207,260.97,53.97
beauty,6,93.6,147.44,53.84
beauty,6,40.62,94.44,53.82
snacks,47,134.89,188.67,53.78
appliances,4,126.76,180.53,53.77
beauty,10,102,155.64,53.64
life,27,134.5,188.03,53.53
beauty,7,106.62,160.14,53.52
beauty,53,628.48,681.9,53.42
life,34,26.12,79.33,53.21
appliances,6,100.8,153.94,53.14
life,10,263.1,316.16,53.06
beauty,12,61.97,114.93,53
appliances,2,67.2,119.98,52.78
beauty,3,106.2,158.97,52.77
life,24,17.28,70.04,52.76
beauty,64,775.68,828.38,52.7
beauty,8,178.24,230.92,52.68
maternal,7,63.63,116.26,52.63
life,20,26.6,79.09,52.49
beauty,3,101.22,153.67,52.45
life,7,107.74,160.18,52.44
life,23,15.18,67.49,52.31
life,3,30.21,82.47,52.26
maternal,6,113.04,165.26,52.22
beauty,11,143,195.2,52.2
beauty,15,223.95,276.09,52.14
appliances,2,124.74,176.86,52.12
beauty,51,71.4,123.46,52.06
beauty,14,136.28,188.29,52.01
life,5,150.84,202.81,51.97
beauty,4,44,95.96,51.96
life,3,25.77,77.65,51.88
beauty,6,120,171.74,51.74
life,1,8.16,59.84,51.68
life,10,24.6,76.27,51.67
beauty,61,334.82,386.41,51.59
appliances,1,366.37,417.91,51.54
Default,24,25.92,77.4,51.48
Default,5,53.52,104.95,51.43
appliances,1,389.75,440.99,51.24
beauty,15,495,546.21,51.21
life,3,23.79,74.97,51.18
life,24,17.76,68.9,51.14
beauty,11,87.88,138.99,51.11
beauty,10,700.05,751.04,50.99
life,16,112.48,163.4,50.92
beauty,7,519.89,570.68,50.79
life,8,232.66,283.33,50.67
beauty,16,104.96,155.54,50.58
life,6,230.45,281.02,50.57
appliances,2,327.6,378.1,50.5
snacks,108,248.4,298.77,50.37
maternal,11,240.5,290.87,50.37
appliances,6,119.7,170.07,50.37
appliances,4,140,190.37,50.37
life,15,126,176.25,50.25
beauty,9,476.92,527.12,50.2
beauty,20,111.4,161.59,50.19
beauty,7,144,194.19,50.19
appliances,3,523.23,573.4,50.17
life,12,77.77,127.94,50.17
beauty,103,206,256.13,50.13
appliances,1,318.98,369,50.02
beauty,1,10,59.99,49.99
life,5,80,129.95,49.95
appliances,5,230.68,280.45,49.77
beauty,12,123.12,172.74,49.62
beauty,3,132.38,181.97,49.59
life,4,147,196.47,49.47
beauty,19,108.51,157.96,49.45
life,7,27.51,76.93,49.42
snacks,37,140.6,190.01,49.41
beauty,4,67.96,117.34,49.38
beauty,7,126.46,175.78,49.34
appliances,5,38.85,88.15,49.3
beauty,7,67.97,117.24,49.27
life,40,37.11,86.37,49.26
life,5,47.55,96.77,49.22
life,49,120.05,169.19,49.14
beauty,22,407.38,456.4,49.02
life,49,70.56,119.54,48.98
appliances,3,107.1,156,48.9
beauty,44,186.75,235.19,48.44
life,18,75.6,124,48.4
life,23,19.09,67.49,48.4
beauty,12,244.59,292.87,48.28
beauty,33,283.08,331.35,48.27
beauty,10,144.9,193.16,48.26
life,36,62.28,110.43,48.15
beauty,2,370,417.98,47.98
beauty,5,99,146.95,47.95
appliances,3,394.62,442.38,47.76
life,9,34.75,82.46,47.71
life,3,138.6,186.3,47.7
snacks,30,129.3,176.71,47.41
beauty,29,213.32,260.57,47.25
life,8,31.68,78.92,47.24
life,12,126,173.23,47.23
beauty,5,90,137.15,47.15
snacks,105,210.06,257.18,47.12
maternal,11,101.68,148.66,47.01
appliances,3,153.12,200.11,46.99
beauty,22,312.4,359.23,46.83
appliances,3,157.38,204.18,46.8
life,15,26.4,73.19,46.79
beauty,9,108,154.73,46.73
beauty,13,70.85,117.4,46.55
snacks,75,112.5,158.98,46.48
beauty,15,72,118.45,46.45
snacks,24,91.2,137.46,46.26
life,24,65.52,111.67,46.15
life,2,100.16,146.28,46.12
life,18,24.3,70.39,46.09
life,14,49,95.07,46.07
beauty,4,90,135.96,45.96
life,24,65.52,111.29,45.77
beauty,2,90,135.71,45.71
life,26,89.96,135.65,45.69
life,6,80.28,125.94,45.66
beauty,2,93.14,138.68,45.54
beauty,6,86.4,131.94,45.54
life,19,23.63,69.17,45.54
maternal,1,84.49,129.99,45.5
beauty,5,84,129.44,45.44
beauty,13,133.62,178.91,45.29
beauty,6,612,657.26,45.26
beauty,12,260.77,306.02,45.25
beauty,8,208.98,254.18,45.2
beauty,4,112.8,157.96,45.16
beauty,32,249.54,294.7,45.16
beauty,5,102.5,147.63,45.13
snacks,51,102,147.07,45.07
life,3,78,122.97,44.97
life,5,81.02,125.95,44.93
snacks,58,242.8,287.67,44.87
beauty,6,97.2,141.99,44.79
beauty,10,294,338.72,44.72
snacks,59,177,221.69,44.69
beauty,4,360.55,405.23,44.68
snacks,24,120,164.68,44.68
beauty,27,256.13,300.8,44.67
life,18,27,71.66,44.66
beauty,4,109.2,153.84,44.64
life,5,299.25,343.81,44.56
life,19,25.46,69.99,44.53
beauty,5,100.49,144.95,44.46
life,45,73.8,118.24,44.44
maternal,62,76.68,121.1,44.42
beauty,10,84.5,128.92,44.42
snacks,41,411.5,455.87,44.37
beauty,9,96.11,140.43,44.32
life,2,60.9,105.19,44.29
snacks,34,81.6,125.86,44.26
beauty,11,222,266.24,44.24
life,14,350,394.16,44.16
life,29,26.31,70.47,44.16
maternal,4,104,148.16,44.16
appliances,2,115.5,159.64,44.14
appliances,1,60.9,104.99,44.09
beauty,6,185.55,229.52,43.97
beauty,4,112,155.96,43.96
beauty,4,112,155.96,43.96
beauty,29,464,507.81,43.81
beauty,10,252,295.71,43.71
life,49,36.26,79.95,43.69
beauty,8,248,291.66,43.66
beauty,20,176.3,219.9,43.6
appliances,5,57.4,100.95,43.55
beauty,3,184.33,227.87,43.54
beauty,28,85.38,128.82,43.44
appliances,36,270,313.44,43.44
beauty,16,107.14,150.57,43.43
beauty,33,740.09,783.5,43.41
life,30,48.9,92.28,43.38
life,12,26.52,69.87,43.35
beauty,1,216.55,259.89,43.34
life,24,20.64,63.96,43.32
beauty,14,110.92,154.2,43.28
beauty,4,144,187.16,43.16
appliances,33,297,340.16,43.16
snacks,29,110.2,153.34,43.14
life,48,29.76,72.84,43.08
life,30,283.5,326.58,43.08
beauty,12,252,295.02,43.02
beauty,7,113.4,156.4,43
life,1,42,84.99,42.99
beauty,11,55.92,98.89,42.97
life,11,30.97,73.86,42.89
appliances,2,44.1,86.98,42.88
maternal,8,105.31,148.14,42.83
appliances,1,47.25,90,42.75
beauty,5,74.8,117.55,42.75
beauty,43,250.88,293.49,42.64
maternal,60,493.77,536.36,42.59
life,12,29.96,72.34,42.38
beauty,7,75.04,117.23,42.19
beauty,8,125,167.16,42.16
beauty,3,82.8,124.91,42.11
beauty,11,96.31,138.35,42.04
life,6,44.1,86.11,42.01
beauty,2,84,125.98,41.98
beauty,2,79.2,121.14,41.94
beauty,10,584.8,626.72,41.92
beauty,9,64.71,106.62,41.91
life,47,28.2,69.98,41.78
beauty,9,106.62,148.38,41.76
life,25,29.78,71.49,41.71
appliances,1,36.32,78,41.68
life,76,29.88,71.55,41.67
beauty,4,126,167.66,41.66
life,4,167.6,209.25,41.65
beauty,4,74.4,115.96,41.56
snacks,118,410.16,451.69,41.53
life,12,66,107.38,41.38
beauty,3,102.6,143.97,41.37
beauty,4,91.2,132.56,41.36
appliances,2,183.76,224.98,41.22
life,49,26.29,67.47,41.18
beauty,5,96,137.16,41.16
beauty,11,68.76,109.89,41.13
beauty,14,252,293.11,41.11
life,12,51.6,92.68,41.08
beauty,5,75,116.05,41.05
maternal,39,320.72,361.71,40.99
beauty,10,67.93,108.92,40.99
life,17,34.68,75.65,40.97
appliances,1,47.25,88.2,40.95
beauty,20,660,700.94,40.94
snacks,58,170.8,211.7,40.9
beauty,15,120,160.9,40.9
life,6,81.66,122.56,40.9
beauty,2,402.44,443.32,40.88
beauty,2,63.3,103.98,40.68
life,3,126,166.66,40.66
beauty,15,98.4,139.05,40.65
appliances,1,29.4,69.99,40.59
life,12,26.52,67.06,40.54
life,19,20.5,60.99,40.49
life,13,27.82,68.25,40.43
beauty,4,71.34,111.77,40.43
snacks,70,140,180.38,40.38
life,14,84.9,125.22,40.32
snacks,90,207.8,248.11,40.31
appliances,2,49.7,89.97,40.27
beauty,16,20.64,60.89,40.25
life,10,32.38,72.59,40.21
appliances,3,109.95,149.97,40.02
life,3,21.96,61.97,40.01
beauty,3,144,183.97,39.97
beauty,5,65,104.95,39.95
beauty,8,112,151.92,39.92
beauty,8,72,111.92,39.92
life,3,41.31,81.23,39.92
life,6,22.02,61.94,39.92
beauty,4,196.27,236.12,39.85
beauty,23,66.23,106,39.81
beauty,18,63.41,103.16,39.76
beauty,11,100.1,139.83,39.73
beauty,9,105.24,144.91,39.67
beauty,3,68.4,107.97,39.57
life,26,29.77,69.29,39.52
beauty,3,117.15,156.58,39.43
life,18,28.26,67.63,39.37
appliances,12,950.04,989.41,39.37
life,5,74.2,113.54,39.34
life,3,18.66,57.98,39.32
beauty,3,124.2,163.41,39.21
life,9,23.85,63.03,39.18
life,22,18.48,57.64,39.16
maternal,7,84.98,124.13,39.15
life,15,30,69.1,39.1
beauty,6,86.4,125.41,39.01
beauty,9,86.4,125.37,38.97
beauty,3,75,113.97,38.97
maternal,10,162.37,201.32,38.95
beauty,5,81,119.95,38.95
maternal,27,190.4,229.29,38.89
maternal,4,84.52,123.4,38.88
appliances,2,76.1,114.97,38.87
beauty,1,146.17,185,38.83
beauty,4,128,166.79,38.79
appliances,2,25.2,63.98,38.78
life,6,33.3,72.06,38.76
appliances,5,66.75,105.46,38.71
beauty,25,450.91,489.49,38.58
life,2,71.4,109.98,38.58
life,15,18.75,57.32,38.57
beauty,15,256.17,294.66,38.49
beauty,3,207,245.38,38.38
appliances,4,67.04,105.42,38.38
appliances,7,109.2,147.56,38.36
beauty,5,59.95,98.29,38.34
beauty,14,145.8,184.14,38.34
life,5,75.6,113.93,38.33
beauty,8,50.4,88.73,38.33
beauty,4,147.32,185.64,38.32
life,9,27.36,65.64,38.28
beauty,12,86.64,124.89,38.25
life,6,66,104.25,38.25
appliances,1,141.75,179.99,38.24
life,9,23.54,61.76,38.22
life,9,25.56,63.78,38.22
life,25,22.5,60.7,38.2
life,4,179.28,217.47,38.19
beauty,4,78.78,116.96,38.18
beauty,55,666.6,704.76,38.16
beauty,6,72,110.15,38.15
appliances,5,26.25,64.35,38.1
life,16,68.5,106.59,38.09
life,38,20.96,59.02,38.06
beauty,5,42,79.95,37.95
beauty,8,1295.6,1333.46,37.86
beauty,52,913.66,951.48,37.82
beauty,4,60.88,98.7,37.82
beauty,5,65,102.8,37.8
life,14,18.9,56.7,37.8
life,4,75.88,113.61,37.73
beauty,10,90.12,127.82,37.7
beauty,3,104.4,142.08,37.68
life,15,28.2,65.85,37.65
maternal,113,117.16,154.74,37.61
life,23,34.5,72.08,37.58
beauty,20,288,325.57,37.57
maternal,4,96,133.45,37.45
beauty,3,99,136.45,37.45
beauty,7,75.95,113.39,37.44
beauty,29,313.86,351.22,37.36
beauty,3,79.65,116.97,37.34
snacks,24,72,109.3,37.3
beauty,10,172.5,209.73,37.23
life,12,20.71,57.93,37.22
beauty,2,99.46,136.64,37.2
beauty,2,266,303.1,37.1
snacks,74,170.4,207.47,37.07
beauty,1,63,99.99,36.99
beauty,1,66,102.99,36.99
life,13,88.3,125.22,36.92
beauty,8,128,164.92,36.92
life,4,75.6,112.46,36.86
maternal,25,221.45,258.29,36.84
life,7,36.1,72.93,36.83
life,4,183.2,219.96,36.76
snacks,89,267,303.73,36.73
beauty,7,99.32,135.94,36.62
snacks,27,105.03,141.62,36.59
maternal,39,295.07,331.64,36.57
life,7,21,57.45,36.45
snacks,30,129.3,165.68,36.38
life,7,54.6,90.93,36.33
life,10,17.1,53.35,36.25
snacks,32,76.8,113.05,36.25
beauty,18,13.5,49.73,36.23
snacks,51,60.64,96.87,36.23
beauty,8,76.8,113.02,36.22
maternal,84,625.57,661.72,36.15
life,47,8.93,44.97,36.04
appliances,4,27.96,63.96,36
beauty,2,174,210,36
life,6,90,125.94,35.94
life,14,18.2,54.11,35.91
snacks,12,84,119.91,35.91
life,5,86.65,122.45,35.8
beauty,24,426.15,461.92,35.77
beauty,4,92.08,127.82,35.74
life,7,66.33,102.01,35.68
beauty,10,190.31,225.98,35.67
appliances,4,46.2,81.86,35.66
life,11,61.45,97.1,35.65
life,4,62.12,97.76,35.64
snacks,100,150,185.6,35.6
beauty,2,62.4,97.98,35.58
beauty,2,67.2,102.58,35.38
beauty,5,141,176.35,35.35
life,22,108.8,144.04,35.24
snacks,131,196.5,231.73,35.23
life,9,24.93,60.15,35.22
life,12,16.32,51.49,35.17
beauty,8,201.24,236.4,35.16
beauty,9,55.29,90.4,35.11
life,17,14.57,49.67,35.1
maternal,14,280.64,315.72,35.08
beauty,8,251.16,286.21,35.05
life,384,1513.77,1548.81,35.04
appliances,1,55,89.99,34.99
beauty,12,148.12,183.11,34.99
life,3,75,109.97,34.97
life,5,58.5,93.42,34.92
beauty,18,79.25,114.16,34.91
beauty,10,65,99.9,34.9
life,4,66.48,101.36,34.88
beauty,25,23.75,58.6,34.85
snacks,54,121.2,156.03,34.83
snacks,135,270,304.83,34.83
life,18,70.2,104.96,34.76
life,17,17.7,52.38,34.68
beauty,3,63.93,98.57,34.64
life,12,52.68,87.31,34.63
appliances,2,98.4,132.99,34.59
life,12,16.08,50.65,34.57
beauty,11,86.35,120.89,34.54
life,3,135.44,169.97,34.53
snacks,48,110.4,144.93,34.53
beauty,15,52.35,86.86,34.51
life,11,23.87,58.24,34.37
life,10,18.12,52.47,34.35
life,6,60,94.34,34.34
beauty,4,92.5,126.79,34.29
beauty,42,473.34,507.52,34.18
beauty,4,67.2,101.36,34.16
beauty,10,85,119.15,34.15
beauty,6,112.92,147.07,34.15
life,32,12.16,46.26,34.1
snacks,93,190.9,224.98,34.08
snacks,112,433.27,467.33,34.08
life,8,264.44,298.51,34.07
life,20,18,52.04,34.04
beauty,7,632.62,666.65,34.03
beauty,12,301.05,334.91,33.86
life,11,144.13,177.97,33.84
beauty,8,305.9,339.7,33.8
life,18,17.64,51.43,33.79
beauty,6,78,111.78,33.78
beauty,6,96,129.75,33.75
snacks,43,104.9,138.61,33.71
beauty,14,95.36,129.06,33.7
beauty,9,131.31,164.98,33.67
snacks,124,223.2,256.82,33.62
beauty,5,96,129.55,33.55
life,7,63,96.53,33.53
life,5,11.45,44.95,33.5
beauty,36,230.97,264.43,33.48
beauty,4,64,97.47,33.47
life,8,217.28,250.73,33.45
life,3,24.48,57.92,33.44
beauty,12,273.6,306.96,33.36
beauty,2,264.66,298,33.34
appliances,4,110.24,143.57,33.33
life,30,245.28,278.57,33.29
life,12,61.8,95.08,33.28
life,4,50.68,83.96,33.28
beauty,4,56.4,89.66,33.26
beauty,6,53.94,87.19,33.25
beauty,2,88.56,121.77,33.21
beauty,11,20.02,53.21,33.19
life,15,20.85,53.98,33.13
life,5,69.36,102.46,33.1
beauty,7,94.5,127.57,33.07
beauty,9,47.85,80.91,33.06
beauty,3,132.72,165.76,33.04
life,6,55.44,88.47,33.03
appliances,15,10.05,43.08,33.03
beauty,5,87,120.01,33.01
maternal,14,146.74,179.72,32.98
beauty,5,114,146.95,32.95
snacks,215,752.5,785.45,32.95
life,30,105,137.94,32.94
beauty,6,99,131.94,32.94
beauty,7,67.9,100.84,32.94
beauty,1,92.07,125,32.93
beauty,4,131.7,164.58,32.88
beauty,6,75.54,108.4,32.86
beauty,2,77.12,109.98,32.86
beauty,16,404.8,437.65,32.85
life,12,25.08,57.88,32.8
snacks,24,91.2,123.97,32.77
life,7,49,81.76,32.76
beauty,7,70,102.73,32.73
life,3,12.24,44.97,32.73
snacks,143,143.4,176.12,32.72
life,60,173.4,206.11,32.71
beauty,24,300,332.7,32.7
beauty,5,65,97.7,32.7
beauty,3,63,95.67,32.67
beauty,4,50.4,83.07,32.67
beauty,11,72.6,105.25,32.65
beauty,4,72,104.63,32.63
beauty,11,268.19,300.79,32.6
life,4,18,50.53,32.53
beauty,3,54.48,86.97,32.49
snacks,60,90,122.49,32.49
snacks,36,72,104.48,32.48
beauty,11,159.84,192.31,32.47
beauty,6,389.17,421.63,32.46
beauty,15,143.93,176.38,32.45
beauty,6,39.54,71.94,32.4
life,21,20.63,53.02,32.39
beauty,3,57.6,89.97,32.37
beauty,7,109.2,141.55,32.35
beauty,5,78,110.35,32.35
life,12,61.05,93.26,32.21
beauty,6,85.14,117.35,32.21
appliances,5,116.2,148.4,32.2
maternal,3,78,110.18,32.18
beauty,1,192.86,224.99,32.13
beauty,15,83.79,115.92,32.13
beauty,3,71.46,103.58,32.12
beauty,8,96,128.07,32.07
maternal,4,68.67,100.7,32.03
appliances,64,0,32,32
beauty,10,60,92,32
beauty,7,76.93,108.93,32
life,2,42,73.98,31.98
beauty,4,160,191.98,31.98
life,14,100.38,132.31,31.97
life,5,121.8,153.75,31.95
beauty,13,182,213.92,31.92
life,12,15.96,47.88,31.92
beauty,16,150.72,182.63,31.91
life,3,17.58,49.47,31.89
beauty,24,84.48,116.29,31.81
beauty,4,59.2,91.01,31.81
beauty,3,49.2,80.97,31.77
snacks,50,115,146.73,31.73
life,12,16.8,48.5,31.73
life,12,72,103.67,31.67
appliances,1,38.33,69.99,31.66
snacks,106,159,190.65,31.65
snacks,30,129.3,160.94,31.64
beauty,35,105,136.62,31.62
beauty,6,65.28,96.85,31.57
beauty,4,67.16,98.72,31.56
beauty,8,100,131.54,31.54
life,44,14.06,45.57,31.51
beauty,8,56.35,87.82,31.47
beauty,9,58.5,89.91,31.41
life,6,233.82,265.21,31.39
beauty,6,61.56,92.92,31.36
beauty,14,126.44,157.79,31.35
beauty,14,371.1,402.43,31.33
beauty,3,58.68,89.97,31.29
life,15,15.9,47.19,31.29
beauty,6,79.2,110.46,31.26
life,27,21.3,52.55,31.25
beauty,4,64,95.22,31.22
beauty,6,216,247.18,31.18
beauty,12,61.8,92.92,31.12
beauty,10,43.6,74.71,31.11
beauty,14,119.43,150.5,31.07
beauty,5,68.8,99.78,30.98
snacks,23,67.16,98.11,30.95
maternal,5,99,129.92,30.92
life,3,18.57,49.47,30.9
beauty,14,102.58,133.46,30.88
beauty,3,45.69,76.54,30.85
beauty,1,68.25,99,30.75
beauty,25,684.66,715.41,30.75
life,13,20.02,50.7,30.68
beauty,6,79.68,110.32,30.64
beauty,8,135,165.63,30.63
maternal,3,74.71,105.28,30.57
snacks,24,72,102.54,30.54
life,5,181.23,211.75,30.52
appliances,56,0,30.5,30.5
beauty,5,71.4,101.89,30.49
beauty,6,82.8,113.24,30.44
life,1,20.49,50.92,30.43
life,3,24.09,54.51,30.42
appliances,2,133.2,163.59,30.39
beauty,3,76.89,107.27,30.38
beauty,7,92.4,122.74,30.34
beauty,1,94.8,125.1,30.3
snacks,40,120,150.3,30.3
life,1,27.34,57.59,30.25
snacks,24,91.2,121.42,30.22
snacks,114,285,315.2,30.2
life,6,18.84,49.04,30.2
life,3,6.3,36.5,30.2
maternal,91,94.4,124.55,30.15
snacks,24,99.03,128.97,30.08
life,10,21.5,51.57,30.07
beauty,1,64.95,94.99,30.04
beauty,3,84.6,114.61,30.01
life,45,86.93,116.93,30
maternal,2,40,70,30
maternal,8,131.66,161.65,29.99
beauty,2,48,77.98,29.98
life,5,67.2,97.18,29.98
life,3,45,74.97,29.97
life,3,165,194.97,29.97
appliances,2,50,79.97,29.97
life,4,46,75.96,29.96
beauty,5,70.65,100.6,29.95
appliances,9,147.21,177.16,29.95
beauty,6,72,101.94,29.94
life,4,117.64,147.56,29.92
beauty,9,60.02,89.91,29.89
beauty,15,92.1,121.88,29.78
beauty,14,423.05,452.83,29.78
beauty,3,180.21,209.97,29.76
beauty,5,55.15,84.9,29.75
life,10,10.96,40.71,29.75
maternal,43,69.66,99.27,29.61
beauty,4,64.4,93.96,29.56
snacks,372,426.05,455.61,29.56
beauty,4,1050.84,1080.36,29.52
life,12,22.32,51.8,29.48
life,2,14.54,43.98,29.44
beauty,5,90,119.34,29.34
life,8,19.92,49.25,29.33
beauty,14,193.2,222.5,29.3
life,8,14.08,43.37,29.29
snacks,54,243,272.26,29.26
beauty,5,60,89.25,29.25
snacks,50,50,79.19,29.19
beauty,2,70.8,99.98,29.18
life,8,61.28,90.43,29.15
beauty,7,31.73,60.87,29.14
life,33,20.46,49.6,29.14
appliances,30,187.5,216.63,29.13
beauty,9,59.31,88.41,29.1
maternal,15,83.4,112.47,29.07
life,2,29.32,58.37,29.05
snacks,365,944.7,973.74,29.04
life,3,140.78,169.79,29.01
beauty,2,50.98,79.98,29
life,5,20.1,49.08,28.98
life,2,47.02,75.98,28.96
beauty,3,40.09,68.97,28.88
beauty,10,48,76.88,28.88
beauty,4,51.12,79.96,28.84
beauty,6,54,82.8,28.8
life,10,21.6,50.4,28.8
beauty,4,144,172.76,28.76
appliances,5,26.2,54.95,28.75
beauty,13,300.15,328.88,28.73
beauty,16,192,220.73,28.73
beauty,8,82.2,110.93,28.73
beauty,9,67.95,96.67,28.72
life,3,41.49,70.15,28.66
beauty,44,467.34,495.96,28.62
life,11,18.48,47.09,28.61
life,22,15.86,44.42,28.56
beauty,11,111.2,139.73,28.53
appliances,2,51.46,79.98,28.52
maternal,1,416.5,445,28.5
life,66,111.56,140.04,28.48
beauty,9,120.26,148.69,28.43
snacks,24,99.09,127.4,28.41
beauty,5,51.55,79.95,28.4
beauty,4,34,62.37,28.37
snacks,36,80.8,109.15,28.35
life,12,15.72,44.07,28.35
appliances,2,90,118.34,28.34
life,16,24.32,52.64,28.32
snacks,79,158,186.3,28.3
beauty,10,31.5,59.8,28.3
beauty,4,54.6,82.89,28.29
beauty,5,31.3,59.58,28.28
beauty,9,91.8,120,28.2
appliances,42,0,28.2,28.2
snacks,24,72,100.2,28.2
beauty,8,324,352.19,28.19
beauty,4,407.23,435.42,28.19
maternal,6,142.35,170.53,28.18
maternal,15,559.68,587.85,28.17
beauty,4,63,91.11,28.11
beauty,9,42.22,70.31,28.09
life,3,19.74,47.82,28.08
life,8,79.84,107.86,28.02
life,2,22.98,50.99,28.01
beauty,2,44,71.98,27.98
beauty,4,40,67.96,27.96
beauty,4,48,75.96,27.96
beauty,4,72,99.96,27.96
beauty,6,57.6,85.49,27.89
life,4,18.28,46.16,27.88
life,29,50.71,78.58,27.87
snacks,30,114,141.85,27.85
beauty,6,54,81.85,27.85
beauty,2,70.14,97.98,27.84
life,55,171.6,199.42,27.82
snacks,104,239.2,266.97,27.77
beauty,3,59.22,86.97,27.75
beauty,5,72.37,100.1,27.73
beauty,13,15.99,43.71,27.72
beauty,24,99.6,127.31,27.71
beauty,2,54,81.68,27.68
snacks,105,157.5,185.18,27.68
appliances,3,142.07,169.71,27.65
life,5,38.35,65.97,27.62
beauty,1,241.45,269,27.55
life,39,327.6,355.12,27.52
life,2,52.5,79.98,27.48
appliances,10,20,47.45,27.45
beauty,7,104,131.41,27.41
maternal,7,61.04,88.42,27.4
beauty,2,44.64,71.98,27.34
beauty,4,42.82,70.16,27.34
beauty,9,42.22,69.52,27.3
life,20,16.5,43.8,27.3
beauty,3,70.2,97.47,27.27
life,29,13.55,40.77,27.22
beauty,10,130,157.22,27.22
life,5,23.2,50.41,27.21
life,2,58.8,85.98,27.18
life,3,54,81.17,27.17
beauty,3,44.88,71.97,27.09
life,4,50.68,77.77,27.09
maternal,2,75.5,102.59,27.09
beauty,39,427.26,454.32,27.06
beauty,14,84,111.06,27.06
life,5,116.9,143.95,27.05
life,1,42.95,69.99,27.04
beauty,1,48,74.99,26.99
appliances,2,83.2,110.18,26.98
life,3,45,71.97,26.97
beauty,3,45,71.97,26.97
beauty,3,75,101.97,26.97
beauty,5,120,146.95,26.95
life,12,8.64,35.58,26.94
beauty,9,50.49,77.31,26.82
appliances,4,25.16,51.96,26.8
life,7,17.01,43.77,26.76
life,6,33.24,59.94,26.7
beauty,4,31.16,57.83,26.67
life,15,19.05,45.68,26.63
beauty,16,163.2,189.8,26.6
life,13,17.55,44.15,26.6
beauty,2,68.4,94.98,26.58
life,4,13.04,39.56,26.52
appliances,1,73.5,99.99,26.49
beauty,61,48.19,74.67,26.48
beauty,7,286.54,312.98,26.44
beauty,5,42.45,68.87,26.42
beauty,2,53.56,79.98,26.42
beauty,13,15.21,41.61,26.4
beauty,2,150,176.4,26.4
appliances,1,33.6,59.99,26.39
appliances,2,33.6,59.98,26.38
beauty,4,61.64,88,26.36
life,12,17.22,43.51,26.29
beauty,11,231,257.28,26.28
life,2,28.8,55.08,26.28
life,11,26.62,52.86,26.24
snacks,148,267.98,294.21,26.23
beauty,4,52,78.22,26.22
appliances,5,104.75,130.95,26.2
beauty,48,511.19,537.34,26.15
snacks,40,130,156.1,26.1
beauty,1,82.9,109,26.1
beauty,12,67.69,93.78,26.09
life,8,12.72,38.76,26.04
life,7,14.22,40.22,26
life,3,21.12,47.1,25.98
beauty,4,49,74.96,25.96
beauty,6,68.4,94.34,25.94
beauty,30,480,505.94,25.94
life,5,11.75,37.68,25.93
snacks,16,66.04,91.84,25.88
snacks,100,150,175.85,25.85
life,6,54,79.74,25.74
life,3,41.24,66.97,25.73
beauty,1,162.41,188.1,25.69
maternal,126,130.57,156.24,25.67
beauty,7,84,109.66,25.66
beauty,5,62.5,88.16,25.66
beauty,1,59.37,84.99,25.62
beauty,3,45.69,71.22,25.53
life,8,6.08,31.59,25.51
appliances,1,94.5,119.99,25.49
life,4,22.6,48.09,25.49
life,32,66.78,92.23,25.45
snacks,48,216,241.39,25.39
beauty,2,63.9,89.28,25.38
snacks,24,99,124.28,25.37
beauty,4,73.8,99.17,25.37
snacks,4,99.4,124.76,25.36
beauty,6,73.8,99.14,25.34
